Iteration	Words	Bytes	Ticks	Mbit/sec
0	1	8	7	8
1	2	16	7	17
2	4	32	6	36
3	8	64	7	70
4	16	128	6	148
5	32	256	7	266
6	64	512	7	573
7	128	1024	7	1064
8	256	2048	8	1964
9	512	4096	8	3675
10	1024	8192	10	6240
11	2048	16384	13	9575
12	4096	32768	10	23985
13	8192	65536	13	38516
14	16384	131072	18	55675
15	32768	262144	29	70792
16	65536	524288	51	81294
17	131072	1048576	94	89282
18	262144	2097152	179	93218
19	524288	4194304	351	95680
20	1048576	8388608	693	96836
21	2097152	16777216	1374	97643
22	4194304	33554432	2741	97981
23	8388608	67108864	5473	98139
24	16777216	134217728	10905	98505
25	33554432	268435456	21788	98603
26	67108864	536870912	43539	98688
